Type,Item,Note,2012 '000SR ,2013 '000SR ,2012,2013
Assets,Cash and balances with SAMA,4,39089688,40298428,39089688000,40298428000
Assets,Due from banks and other financial institutions,5,14831332,16402282,14831332000,16402282000
Assets,"Investments, net",6,125294012,116427793,1.25E+11,1.16E+11
Assets,"Loans and advances, net",7,187687037,163461189,1.88E+11,1.63E+11
Assets,"Investment in associates, net",8,828915,832631,828915000,832631000
Assets,"Other real estate, net",9,216001,218144,216001000,218144000
Assets,"Property and equipment, net",10,2761528,2549896,2761528000,2549896000
Assets,"Goodwill and other intangible assets, net",11,873636,1172098,873636000,1172098000
Assets,Other assets,12,5698185,3897242,5698185000,3897242000
Liabilities,Due to banks and other financial institutions,14,24725314,25574176,24725314000,25574176000
Liabilities,Customersï¿½ deposits,15,300601675,273530090,3.01E+11,2.74E+11
Liabilities,Debt securities issued,16,1511250,0,1511250000,0
Liabilities,Other liabilities,17,7905915,6751292,7905915000,6751292000
Equity,Share capital,18,15000000,15000000,15000000000,15000000000
Equity,Treasury shares,42,-177093,-177093,-177093000,-177093000
Equity,Statutory reserve,19,15102989,13623678,15102989000,13623678000
Equity,Other reserves (cumulative changes in fair values),20,1353948,1857342,1353948000,1857342000
Equity,Retained earnings,,9699260,7051299,9699260000,7051299000
Equity,Proposed dividend,28,1645573,1495975,1645573000,1495975000
Equity,Foreign currency translation reserve,,-1690770,-1147570,-1690770000,-1147570000
Equity,Non-controlling interests,40,1602273,1700514,1602273000,1700514000